Sample ID,Protein (g),Vitamin A (mg),Vitamin C (mg),Calcium (mg),Potassium (mg),Iron (mg),Fiber (g),Calories (kcal)
MOR-9099,8.12,0.18,193.88,376.33,228.18,0.87,4.77,60.0
MOR-4232,5.98,0.86,232.24,225.71,356.94,2.04,4.81,59.0
MOR-9011,4.14,0.36,135.27,346.4,308.79,1.33,3.21,42.0
MOR-6696,4.41,0.36,138.05,341.96,318.16,1.97,6.51,39.0
MOR-3811,7.96,0.24,123.05,391.31,177.38,0.55,7.99,44.0
MOR-5439,2.26,0.31,74.85,319.13,206.17,1.4,6.65,33.0
MOR-2918,5.98,0.7,57.75,342.48,299.02,1.52,5.64,36.0
MOR-6392,3.76,0.16,118.42,372.55,360.24,1.5,6.46,46.0
MOR-5648,8.92,0.83,229.64,285.88,191.85,1.9,5.95,34.0
MOR-7251,6.06,0.45,80.63,341.63,350.89,0.76,2.43,43.0
MOR-6973,2.48,0.51,197.38,337.05,304.87,2.74,3.94,49.0
MOR-1445,7.71,0.69,198.34,252.31,337.34,1.21,5.8,41.0
MOR-3680,7.17,0.86,98.81,328.93,183.84,1.76,7.47,35.0
MOR-6121,5.93,0.65,226.27,364.04,237.71,1.72,3.22,37.0
MOR-5389,4.22,0.26,137.2,361.88,280.04,0.62,2.6,52.0
MOR-2684,5.99,0.82,86.01,357.78,228.99,2.42,6.38,42.0
MOR-6326,2.69,0.74,246.63,341.94,335.89,1.58,6.05,34.0
MOR-6745,6.42,0.71,170.54,397.49,336.29,2.89,2.18,63.0
MOR-8805,7.06,0.5,202.25,219.66,288.9,2.91,3.32,33.0
MOR-6366,4.73,0.88,231.87,372.66,317.01,1.2,3.57,62.0
MOR-2639,6.15,0.75,221.3,325.68,195.88,1.77,5.69,62.0
MOR-5680,5.76,0.62,63.56,323.35,153.07,1.32,6.83,65.0
MOR-2937,3.99,0.54,132.58,298.76,255.49,1.63,7.99,59.0
MOR-9118,4.27,0.43,113.83,258.87,267.72,2.11,4.15,67.0
MOR-9835,8.82,0.33,164.9,333.0,185.38,2.26,5.82,58.0
MOR-1003,8.11,0.64,165.94,206.34,209.71,1.29,5.76,51.0
MOR-5840,7.84,0.65,162.01,223.28,194.83,1.98,3.82,55.0
MOR-5882,7.5,0.4,109.45,286.82,275.63,0.73,6.78,32.0
MOR-6205,7.45,0.82,169.75,364.89,250.35,1.21,4.38,49.0
MOR-2395,4.69,0.69,172.76,217.54,346.93,1.25,5.75,47.0
MOR-3433,4.42,0.68,95.91,206.81,399.54,1.46,5.49,32.0
MOR-6025,5.59,0.36,220.67,266.95,273.66,1.21,6.4,40.0
MOR-7551,3.89,0.23,127.2,228.76,274.21,1.66,4.88,65.0
MOR-1763,7.35,0.65,223.39,284.24,342.26,0.81,5.87,47.0
MOR-2328,8.65,0.72,57.49,328.64,206.61,2.43,6.36,50.0
MOR-7453,2.54,0.74,87.74,290.6,305.36,1.47,5.47,51.0
MOR-6290,8.96,0.82,247.27,258.93,239.32,2.62,5.65,59.0
MOR-3357,8.15,0.13,119.66,263.46,190.83,2.84,4.04,63.0
MOR-3417,5.1,0.5,68.39,260.88,169.68,1.62,3.83,61.0
MOR-2817,8.61,0.49,207.75,317.37,278.64,0.99,3.82,69.0
MOR-1444,6.58,0.34,57.83,231.01,351.01,2.44,2.87,69.0
MOR-1840,7.41,0.56,166.35,377.15,254.74,1.75,5.54,43.0
MOR-6385,7.34,0.84,97.43,299.94,229.37,0.6,7.2,33.0
MOR-9008,7.63,0.2,157.5,240.88,200.23,2.72,5.27,59.0
MOR-9407,8.33,0.65,136.7,365.86,269.51,0.6,7.14,44.0
MOR-6737,2.93,0.67,171.58,278.6,348.28,1.84,5.83,41.0
MOR-5964,3.34,0.38,202.17,378.63,332.7,2.09,2.55,54.0
MOR-3314,4.73,0.14,109.87,204.58,245.32,1.89,6.67,66.0
MOR-7234,2.4,0.81,186.82,395.64,185.86,1.94,5.52,63.0
MOR-4237,6.03,0.44,211.05,247.79,301.8,1.34,6.18,52.0
MOR-7054,3.39,0.32,193.01,250.34,306.26,0.86,6.14,37.0
MOR-4863,2.74,0.42,178.0,202.65,257.7,2.67,7.53,33.0
MOR-9833,4.77,0.14,93.93,378.46,330.98,1.63,4.98,54.0
MOR-8810,5.95,0.2,146.67,202.85,361.9,1.14,2.55,55.0
MOR-6258,5.72,0.72,187.57,268.38,331.62,2.52,2.21,36.0
MOR-7458,5.17,0.78,171.94,348.33,231.78,1.96,6.12,68.0
MOR-6916,4.97,0.42,159.71,303.88,337.29,0.99,5.1,33.0
MOR-6844,3.06,0.82,201.84,337.97,255.34,2.07,6.56,59.0
MOR-5977,6.35,0.74,221.9,211.77,189.21,0.88,7.31,47.0
MOR-3189,6.61,0.89,84.28,377.24,342.91,1.11,3.03,54.0
MOR-7710,5.63,0.56,92.78,208.2,205.84,2.74,6.14,32.0
MOR-1347,5.58,0.17,173.26,326.36,153.0,2.1,5.23,54.0
MOR-1515,7.7,0.82,221.89,331.83,290.72,1.6,6.25,41.0
MOR-3482,6.48,0.42,158.06,246.16,262.1,1.44,7.07,55.0
MOR-1160,6.55,0.35,223.83,274.52,179.08,1.16,2.4,65.0
MOR-1509,5.34,0.17,72.1,257.65,195.26,2.18,7.78,56.0
MOR-2557,6.44,0.65,180.63,364.74,243.87,2.66,2.75,37.0
MOR-1542,2.34,0.35,240.37,259.28,162.51,1.03,6.59,60.0
MOR-2518,3.61,0.4,180.37,351.84,376.41,2.6,3.98,59.0
MOR-9470,7.67,0.66,195.07,396.62,196.83,1.77,2.35,70.0
MOR-1425,6.7,0.64,122.75,231.86,156.7,1.19,5.64,42.0
MOR-9162,4.98,0.81,242.19,345.08,394.08,1.09,4.37,68.0
MOR-5844,7.52,0.74,160.88,290.81,261.12,0.61,3.73,57.0
MOR-3757,3.91,0.71,213.07,205.81,262.52,2.52,5.12,64.0
MOR-2796,6.99,0.86,248.2,235.61,211.36,1.4,4.48,54.0
MOR-8720,4.36,0.31,59.61,284.78,218.65,2.62,2.84,54.0
MOR-5530,3.64,0.11,232.88,203.85,378.82,2.22,4.85,61.0
MOR-8914,3.33,0.57,179.08,383.19,217.79,2.3,5.8,42.0
MOR-6717,8.78,0.86,179.12,268.33,246.34,2.36,3.68,39.0
MOR-7243,2.69,0.74,111.98,393.05,375.3,1.3,7.01,46.0
MOR-5618,8.28,0.42,136.92,251.7,272.22,1.05,3.13,61.0
MOR-1747,2.01,0.12,233.52,224.28,226.82,0.71,3.35,67.0
MOR-8785,2.87,0.14,99.81,280.63,369.32,1.69,5.45,47.0
MOR-9209,7.53,0.26,223.54,232.51,306.44,0.94,6.36,64.0
MOR-6747,8.98,0.3,152.02,274.79,395.4,0.75,3.59,48.0
MOR-5152,5.38,0.31,243.25,295.77,383.21,1.99,7.25,51.0
MOR-7493,5.6,0.63,106.02,343.54,249.02,2.11,4.94,56.0
MOR-2540,7.58,0.15,114.13,230.23,276.38,2.65,4.81,39.0
MOR-1228,8.25,0.61,87.88,301.52,310.64,2.99,7.94,42.0
MOR-7411,4.2,0.87,213.1,297.67,206.33,1.26,7.18,36.0
MOR-3221,4.4,0.44,174.04,311.96,317.86,2.92,6.74,56.0
MOR-7335,2.72,0.15,167.39,323.86,174.44,1.21,2.09,46.0
MOR-5514,4.24,0.75,245.79,371.05,380.41,2.56,5.97,35.0
MOR-9227,5.55,0.55,135.47,392.32,165.58,1.08,4.94,39.0
MOR-2158,7.12,0.35,214.62,217.25,223.29,2.53,3.46,40.0
MOR-4879,6.75,0.42,211.0,369.46,325.09,2.03,5.29,70.0
MOR-2560,4.19,0.19,81.3,301.96,216.62,1.3,4.33,58.0
MOR-9300,7.77,0.27,220.55,221.38,368.7,0.88,3.03,69.0
MOR-6210,7.36,0.3,229.65,304.28,371.51,1.79,5.05,66.0
MOR-6079,4.09,0.29,73.04,344.09,276.07,1.9,3.76,53.0
MOR-1836,8.82,0.48,115.26,355.79,372.22,2.33,7.86,39.0
MOR-1629,6.78,0.82,161.02,313.18,259.96,1.78,6.97,41.0
MOR-1134,5.31,0.82,195.08,225.66,384.39,1.23,3.97,40.0
MOR-7277,4.76,0.47,86.86,392.14,209.12,0.57,3.57,63.0
MOR-7747,3.86,0.65,182.74,285.81,263.45,2.8,6.48,36.0
MOR-1502,7.67,0.21,77.43,252.26,381.08,0.98,3.85,39.0
MOR-8356,4.24,0.7,245.66,288.18,340.56,1.71,7.78,34.0
MOR-1440,5.79,0.66,104.28,231.9,152.72,2.01,2.15,45.0
MOR-8528,2.27,0.15,77.18,255.64,175.96,2.34,5.57,66.0
MOR-7521,8.35,0.7,172.81,218.08,180.73,2.1,2.16,45.0
MOR-1289,4.26,0.56,114.73,363.34,286.39,1.25,5.93,69.0
MOR-7854,5.02,0.65,106.58,348.0,312.4,0.97,7.1,44.0
MOR-7997,4.99,0.21,56.97,216.17,397.41,1.73,5.37,43.0
MOR-4197,4.63,0.83,101.9,389.13,354.55,2.69,5.04,30.0
MOR-8056,4.45,0.89,232.47,236.6,337.22,2.62,2.8,50.0
MOR-5985,5.93,0.11,221.34,276.73,327.15,0.87,6.38,39.0
MOR-9546,7.56,0.41,177.09,352.44,214.48,0.82,2.48,53.0
MOR-8064,5.27,0.73,132.52,286.48,349.37,1.32,4.41,67.0
MOR-3055,7.88,0.79,58.01,357.71,277.53,1.08,4.65,38.0
MOR-3058,6.8,0.33,166.79,334.11,272.62,2.68,2.54,43.0
MOR-8788,8.58,0.78,85.48,295.58,151.87,1.56,5.44,55.0
MOR-7478,7.52,0.79,66.93,369.34,185.0,1.42,6.42,65.0
MOR-1178,6.71,0.62,119.8,284.31,354.08,1.83,6.68,39.0
MOR-1184,7.56,0.47,147.19,384.81,363.99,2.32,4.13,51.0
MOR-7743,7.05,0.14,163.84,316.3,352.82,1.49,3.73,39.0
MOR-6793,2.76,0.79,123.56,298.34,153.6,1.06,4.71,31.0
MOR-5467,3.87,0.63,63.84,329.16,336.62,1.3,7.66,32.0
MOR-5109,3.55,0.7,109.15,280.95,281.76,0.64,7.28,57.0
MOR-1539,6.49,0.2,127.6,254.49,385.26,2.19,4.43,69.0
MOR-6816,4.76,0.1,221.23,274.15,341.96,1.89,7.3,47.0
MOR-2345,4.22,0.29,87.82,243.28,303.32,0.76,7.57,34.0
MOR-5911,3.6,0.71,203.43,282.83,281.87,0.68,7.48,38.0
MOR-1884,7.36,0.89,204.95,343.4,193.24,2.27,3.13,65.0
MOR-7204,6.49,0.68,243.72,347.91,350.2,2.29,7.85,50.0
MOR-7990,2.88,0.66,187.49,365.9,308.34,2.07,3.58,36.0
MOR-1856,6.59,0.6,144.04,236.81,261.41,1.69,7.96,66.0
MOR-2813,3.42,0.85,149.87,222.07,277.44,2.67,5.68,43.0
MOR-6736,8.95,0.84,71.17,267.07,306.72,0.57,4.11,30.0
MOR-8307,6.12,0.42,91.28,379.52,301.99,0.79,4.53,49.0
MOR-9325,6.6,0.59,213.42,247.81,310.51,1.55,7.99,49.0
MOR-4969,4.49,0.5,200.27,266.62,273.49,0.95,6.0,39.0
MOR-2830,4.1,0.53,98.44,234.64,227.75,0.95,3.23,46.0
MOR-3941,8.71,0.88,204.58,263.03,386.03,2.99,6.5,65.0
MOR-1455,4.57,0.87,51.55,301.03,368.88,0.68,6.51,36.0
MOR-2427,3.42,0.26,124.03,370.84,244.98,0.66,7.31,31.0
MOR-2170,5.59,0.87,233.42,278.94,383.08,2.04,6.69,57.0
MOR-3151,6.93,0.26,55.01,248.12,266.87,2.18,7.08,49.0
MOR-2148,7.38,0.32,55.96,247.28,162.36,1.18,3.9,37.0
MOR-7240,4.01,0.32,201.1,303.3,198.53,1.13,4.03,69.0
MOR-1595,8.13,0.57,94.17,346.1,257.31,2.53,5.29,30.0
MOR-1139,8.34,0.68,101.3,304.43,389.67,2.29,2.98,45.0
MOR-6944,7.01,0.38,162.84,313.01,365.56,1.63,7.76,45.0
MOR-5019,4.71,0.15,136.43,246.32,306.01,2.86,2.64,69.0
MOR-3301,7.28,0.61,62.38,216.49,165.88,1.93,7.27,39.0
MOR-2946,7.66,0.14,81.03,314.05,369.75,2.0,2.85,32.0
MOR-6708,3.56,0.73,218.68,202.64,177.37,2.67,3.47,68.0
MOR-5753,5.62,0.25,61.08,347.4,212.94,1.3,2.95,30.0
MOR-9262,3.26,0.28,146.26,317.72,212.24,1.55,7.82,41.0
MOR-3409,3.88,0.2,87.05,309.87,213.73,2.68,6.01,59.0
MOR-4284,7.54,0.63,137.27,253.97,361.5,1.53,3.46,62.0
MOR-6666,3.09,0.9,80.43,258.03,231.11,2.01,3.57,56.0
MOR-1671,5.95,0.13,169.78,359.37,267.9,1.69,5.74,69.0
MOR-6756,7.16,0.9,56.37,214.22,368.22,1.16,5.71,32.0
MOR-1488,6.36,0.14,132.22,379.45,225.52,0.87,6.13,61.0
MOR-3500,4.01,0.42,166.67,234.18,260.05,1.86,6.1,64.0
MOR-2463,4.46,0.3,130.75,227.38,190.95,0.71,2.79,35.0
MOR-6790,4.44,0.55,157.24,346.7,234.68,0.55,2.24,34.0
MOR-6134,4.49,0.64,155.1,387.34,374.81,0.9,4.23,64.0
MOR-2733,2.08,0.63,85.56,335.42,202.12,1.89,3.7,34.0
MOR-8842,8.47,0.52,193.91,218.13,217.91,2.46,7.46,69.0
MOR-3058,2.41,0.8,113.18,367.54,337.89,0.81,4.87,35.0
MOR-1181,2.94,0.57,138.22,235.3,386.56,1.08,6.33,48.0
MOR-8351,2.38,0.87,182.86,237.24,353.14,0.66,4.7,57.0
MOR-9876,2.47,0.49,240.72,222.48,338.75,1.2,2.41,39.0
MOR-5434,5.82,0.24,97.77,351.59,285.16,2.37,2.73,61.0
MOR-9958,2.54,0.5,147.32,387.64,283.68,0.68,6.92,43.0
MOR-3601,8.78,0.71,237.73,288.21,159.8,1.58,2.22,57.0
MOR-3427,7.54,0.65,58.6,293.91,322.6,1.76,4.47,48.0
MOR-4364,7.05,0.49,184.28,220.36,165.98,2.79,4.37,56.0
MOR-3338,7.15,0.28,63.4,246.65,273.69,2.1,2.83,44.0
MOR-3146,7.99,0.79,174.97,388.15,193.78,2.57,4.52,41.0
MOR-6131,2.36,0.39,177.93,351.6,319.74,1.69,7.12,51.0
MOR-2700,6.97,0.34,143.29,374.76,156.06,2.38,5.41,38.0
MOR-2139,7.79,0.87,64.31,298.71,351.12,1.48,2.52,55.0
MOR-6965,8.7,0.19,51.2,281.11,257.88,1.19,6.98,30.0
MOR-9494,2.62,0.73,197.33,258.68,325.52,1.36,4.04,53.0
MOR-2887,2.54,0.16,146.33,328.16,288.21,0.59,5.97,68.0
MOR-9949,2.24,0.23,95.99,247.34,282.01,2.49,7.39,50.0
MOR-2079,6.37,0.47,65.27,228.82,258.91,1.08,3.41,58.0
MOR-7472,6.58,0.55,130.58,365.18,267.92,1.08,7.77,39.0
MOR-9016,7.96,0.48,217.07,290.45,315.38,1.62,2.14,31.0
MOR-5924,6.58,0.61,84.83,237.56,392.48,1.47,7.33,52.0
MOR-6355,8.83,0.83,103.21,224.84,251.31,0.73,6.62,30.0
MOR-9277,6.89,0.29,232.63,344.66,290.47,2.48,4.81,57.0
MOR-6089,4.83,0.71,140.81,316.13,226.4,1.34,2.52,46.0
MOR-8896,7.43,0.14,183.13,303.94,223.92,1.01,6.0,64.0
MOR-6313,2.35,0.49,214.69,309.17,316.84,2.88,2.56,62.0
MOR-9170,3.7,0.13,212.01,299.61,394.18,2.22,2.07,56.0
MOR-8521,3.02,0.88,247.93,240.4,225.27,2.34,2.89,34.0
MOR-4102,8.22,0.54,189.22,271.46,283.24,1.89,2.2,31.0
MOR-5323,4.17,0.64,58.44,337.06,175.92,2.17,6.17,42.0
MOR-3147,6.02,0.69,131.31,208.72,246.27,1.74,5.47,40.0
MOR-6118,3.79,0.48,78.68,213.31,315.59,1.02,3.23,36.0
MOR-6340,4.41,0.29,229.42,276.46,355.67,0.89,7.09,32.0
MOR-2573,8.53,0.21,247.38,353.48,190.99,0.54,6.84,41.0
MOR-7868,6.63,0.14,215.63,244.7,156.74,0.74,6.73,59.0
MOR-2246,5.46,0.11,205.07,382.01,341.09,1.39,3.95,69.0
MOR-7850,8.31,0.9,189.93,284.3,307.35,1.4,3.07,63.0
MOR-7752,4.5,0.8,89.37,344.7,170.19,2.27,6.69,34.0
MOR-1173,7.03,0.29,91.24,240.66,226.33,2.32,5.43,63.0
MOR-3737,4.06,0.57,183.63,225.57,337.26,0.63,6.42,66.0
MOR-6744,2.47,0.72,51.11,211.27,341.99,2.84,4.36,52.0
MOR-8943,7.0,0.9,159.69,370.37,171.67,1.94,7.56,44.0
MOR-6101,4.68,0.49,159.76,279.88,279.39,2.71,5.04,48.0
MOR-9667,5.68,0.76,91.0,399.79,320.25,2.01,5.58,67.0
MOR-1973,5.39,0.43,170.29,312.63,228.53,1.04,2.21,37.0
MOR-9605,3.41,0.51,242.06,309.68,299.58,2.37,7.27,40.0
MOR-9021,5.41,0.39,167.1,337.69,312.7,1.17,3.67,36.0
MOR-3367,7.04,0.37,179.93,283.72,359.33,2.7,5.85,50.0
MOR-5609,7.74,0.4,67.19,254.66,192.04,2.82,3.76,55.0
MOR-8973,4.96,0.85,127.58,261.3,362.15,2.14,5.16,48.0
MOR-4368,5.05,0.79,211.09,395.07,187.1,1.35,3.89,31.0
MOR-5345,3.01,0.71,109.83,280.95,217.33,2.43,2.54,42.0
MOR-5085,3.03,0.12,82.39,275.56,219.27,2.53,7.82,31.0
MOR-2255,8.04,0.37,72.91,311.71,236.92,2.07,5.31,59.0
MOR-9197,3.1,0.18,174.19,361.46,200.41,1.49,5.69,36.0
MOR-2523,6.33,0.43,199.48,290.77,291.78,2.71,2.58,66.0
MOR-7076,2.33,0.71,171.64,366.39,353.17,2.28,4.59,42.0
MOR-5421,3.44,0.73,198.21,209.45,383.25,2.66,2.89,54.0
MOR-3773,2.72,0.61,231.71,262.1,248.76,2.88,2.19,44.0
MOR-9794,4.08,0.84,208.48,309.67,343.94,2.33,4.62,69.0
MOR-7101,7.02,0.73,95.99,382.02,286.23,2.79,2.63,63.0
MOR-1789,7.53,0.51,174.75,291.86,310.6,0.52,6.56,66.0
MOR-1609,5.59,0.31,185.25,381.92,214.79,1.81,6.49,61.0
MOR-9140,7.78,0.34,209.49,205.42,364.55,1.15,5.93,69.0
MOR-7022,3.83,0.8,155.43,317.72,312.08,1.82,7.5,47.0
MOR-2785,7.71,0.32,162.73,239.6,395.81,0.54,7.26,62.0
MOR-7595,3.22,0.18,126.45,316.45,194.23,2.64,5.18,42.0
MOR-3880,2.1,0.72,103.9,269.81,366.54,0.56,7.81,63.0
MOR-7681,3.68,0.13,171.58,294.03,162.07,2.98,6.22,51.0
MOR-2477,7.0,0.57,244.81,241.33,165.46,2.06,5.27,53.0
MOR-5142,7.75,0.29,204.56,242.49,200.92,1.31,2.41,55.0
MOR-7919,5.9,0.72,229.28,235.13,178.69,1.41,5.53,67.0
MOR-5089,7.26,0.12,229.13,373.38,324.16,2.2,2.38,66.0
MOR-4030,8.44,0.66,81.26,341.02,250.36,2.34,3.2,64.0
MOR-2159,8.17,0.47,243.72,333.69,348.55,1.91,5.65,51.0
MOR-6055,7.38,0.17,176.61,383.82,193.21,0.88,5.48,44.0
MOR-6049,6.63,0.48,222.29,312.5,398.5,2.62,2.82,60.0
MOR-1966,7.41,0.76,68.96,321.02,358.97,2.23,7.82,39.0
MOR-1377,4.69,0.14,203.68,241.49,290.3,1.95,5.34,45.0
MOR-5820,3.98,0.71,213.51,232.56,363.97,1.75,4.42,47.0
MOR-1289,3.22,0.81,176.95,215.66,361.13,1.36,4.9,55.0
MOR-2348,6.99,0.57,218.68,310.42,316.58,1.23,7.96,31.0
MOR-3903,5.21,0.32,140.91,248.48,227.99,2.09,3.74,38.0
MOR-2502,2.63,0.5,62.34,202.95,255.77,0.66,2.66,60.0
MOR-8803,2.86,0.52,87.3,348.66,153.93,0.66,3.66,39.0
MOR-1612,5.6,0.23,51.64,293.48,266.67,2.55,4.89,41.0
MOR-6014,4.48,0.11,72.23,250.79,277.66,2.83,2.32,40.0
MOR-5288,3.44,0.6,155.08,223.71,311.37,2.36,4.1,34.0
MOR-7689,6.82,0.18,217.22,273.47,300.37,2.68,2.99,59.0
MOR-7089,5.61,0.29,225.55,324.35,394.37,2.2,4.44,69.0
MOR-6438,3.05,0.47,233.94,288.29,211.26,0.66,2.55,50.0
MOR-9958,5.38,0.13,165.91,238.95,386.4,1.31,2.93,61.0
MOR-2432,6.41,0.84,91.76,347.99,248.62,2.88,2.38,50.0
MOR-4523,4.25,0.52,138.82,295.6,216.19,2.16,5.93,63.0
MOR-7049,3.58,0.57,194.53,385.29,218.33,2.76,7.45,67.0
MOR-7169,6.37,0.78,163.53,260.27,270.85,1.35,3.19,42.0
MOR-5791,4.55,0.76,226.6,333.36,311.39,1.87,7.24,31.0
MOR-3627,8.36,0.28,139.62,226.88,308.12,1.93,2.79,52.0
MOR-5654,6.85,0.36,116.96,264.7,352.31,2.58,2.64,48.0
MOR-3346,6.89,0.51,133.21,364.86,206.38,0.92,5.57,64.0
MOR-3449,6.72,0.52,98.52,321.69,273.5,2.13,5.05,55.0
MOR-8241,4.57,0.19,131.51,285.28,211.7,2.74,4.85,69.0
MOR-1309,8.98,0.58,68.48,226.8,299.69,0.64,5.59,64.0
MOR-9942,6.7,0.84,177.02,229.55,199.26,0.73,3.87,51.0
MOR-7301,4.28,0.64,97.46,300.44,393.38,2.24,3.56,48.0
MOR-8884,3.12,0.38,178.99,223.69,367.99,1.34,4.74,46.0
MOR-2207,2.92,0.84,80.82,200.03,368.54,1.65,5.98,46.0
MOR-2110,4.52,0.53,114.14,306.07,214.5,1.59,3.7,33.0
MOR-8378,6.01,0.75,58.48,205.46,171.72,2.06,6.07,51.0
MOR-5834,2.45,0.46,225.47,256.19,301.37,1.64,4.72,46.0
MOR-4976,2.81,0.56,226.08,210.26,173.35,2.76,4.34,33.0
MOR-8189,8.99,0.5,80.48,298.35,348.84,1.67,2.73,66.0
MOR-8202,2.54,0.78,137.61,331.13,352.76,0.77,5.97,54.0
MOR-7325,3.32,0.23,161.93,348.46,200.33,2.21,7.81,56.0
MOR-8393,4.55,0.17,145.12,287.3,327.34,1.4,2.03,38.0
MOR-8848,2.13,0.52,81.89,209.11,388.51,1.48,3.21,52.0
MOR-1435,6.76,0.51,109.79,214.3,380.57,2.32,3.7,62.0
MOR-1375,8.75,0.5,110.89,300.05,279.08,1.75,5.77,66.0
MOR-6236,8.07,0.1,182.18,242.51,205.82,2.76,7.5,42.0
MOR-9976,7.69,0.66,127.49,344.35,171.43,2.48,3.53,70.0
MOR-3614,5.82,0.5,83.64,351.06,252.55,1.35,4.65,59.0
MOR-5489,5.68,0.62,199.47,221.49,376.3,2.59,5.68,66.0
MOR-5425,6.76,0.83,181.03,222.36,290.84,2.81,7.51,33.0
MOR-2607,7.53,0.16,134.6,300.78,265.73,0.71,6.48,35.0
MOR-3657,7.21,0.31,231.3,247.49,378.41,1.21,7.99,47.0
MOR-6341,5.3,0.69,173.36,344.92,206.67,1.64,4.23,43.0
MOR-1429,6.36,0.12,234.5,227.68,208.4,0.55,5.1,60.0
MOR-1523,4.32,0.28,117.84,341.59,153.75,1.06,6.22,48.0
MOR-2288,6.45,0.33,178.74,305.47,281.02,2.86,2.75,33.0
MOR-8438,4.92,0.29,140.97,376.83,362.77,1.95,5.8,51.0
MOR-6814,8.77,0.36,167.37,396.34,265.87,0.72,5.23,46.0
MOR-2847,6.88,0.15,74.95,395.88,192.05,1.04,4.64,35.0
MOR-3627,4.69,0.54,230.2,266.35,153.69,0.81,7.73,30.0
MOR-5055,8.42,0.75,227.89,222.04,245.61,2.93,7.01,66.0
MOR-8756,5.53,0.38,217.07,263.49,226.66,1.72,5.3,68.0
MOR-2288,8.7,0.39,229.61,227.54,284.24,1.79,7.17,64.0
MOR-3320,7.31,0.14,203.2,372.25,299.29,0.95,5.35,47.0
MOR-3417,5.78,0.74,59.21,229.61,332.16,1.16,6.0,38.0
MOR-7658,4.59,0.34,127.16,263.33,242.63,1.21,3.53,66.0
MOR-5882,4.88,0.46,129.47,363.98,321.69,1.47,5.24,41.0
MOR-2153,2.69,0.35,142.95,384.0,197.31,1.8,4.81,49.0
MOR-4937,4.84,0.1,217.13,321.5,304.79,1.05,2.82,49.0
MOR-6789,7.43,0.52,166.55,334.14,363.55,0.64,2.39,58.0
MOR-2575,6.86,0.57,133.26,284.68,323.92,2.95,6.52,43.0
MOR-9296,7.48,0.37,216.5,200.29,247.25,0.64,4.37,60.0
MOR-9629,8.82,0.53,175.85,332.84,358.92,2.37,5.57,68.0
MOR-4410,5.11,0.18,248.66,361.03,260.37,2.52,7.48,54.0
MOR-6895,4.95,0.14,106.94,230.73,229.01,1.86,3.65,61.0
MOR-9775,3.39,0.78,88.32,237.62,296.83,2.57,2.83,63.0
MOR-8905,6.7,0.77,160.72,351.42,388.56,2.94,6.02,48.0
MOR-7210,3.46,0.83,156.65,295.77,324.82,0.9,4.54,30.0
MOR-8219,8.92,0.16,80.01,313.78,329.2,0.54,3.69,36.0
MOR-2433,8.26,0.69,222.55,307.48,380.39,0.69,3.09,36.0
MOR-9963,6.64,0.54,244.73,341.97,230.03,1.0,2.08,46.0
MOR-6730,6.33,0.75,109.75,244.18,299.68,1.35,7.47,61.0
MOR-3661,7.31,0.74,120.43,332.47,294.05,2.12,8.0,56.0
MOR-4889,3.35,0.72,164.01,202.95,362.76,1.28,3.59,69.0
MOR-3996,6.44,0.89,51.63,273.38,394.12,1.58,5.75,61.0
MOR-1203,5.3,0.13,195.02,338.72,282.26,0.84,5.78,33.0
MOR-9254,8.69,0.16,135.98,215.86,261.56,2.9,6.13,31.0
MOR-9021,2.71,0.29,85.4,296.52,350.39,1.65,2.23,67.0
MOR-4271,4.9,0.72,172.69,240.96,219.0,1.9,5.26,33.0
MOR-3617,5.01,0.16,234.47,228.18,227.45,0.72,5.02,30.0
MOR-1564,5.54,0.77,78.54,324.32,341.71,2.4,2.78,59.0
MOR-9361,6.33,0.39,238.75,258.17,287.92,2.78,4.01,45.0
MOR-8760,3.52,0.45,96.62,305.54,236.18,0.67,4.71,65.0
MOR-2828,7.11,0.32,105.27,382.75,222.9,0.98,5.04,55.0
MOR-4941,5.73,0.63,127.86,240.03,337.24,2.51,7.36,64.0
MOR-6882,8.98,0.25,214.9,231.69,346.57,1.43,3.59,65.0
MOR-5689,8.79,0.65,51.97,202.09,345.63,2.23,4.85,56.0
MOR-9698,7.14,0.66,246.25,231.93,203.25,1.6,6.16,31.0
MOR-8479,5.21,0.3,107.65,260.59,223.86,1.71,5.1,69.0
MOR-5233,8.3,0.32,173.67,262.33,177.3,2.55,5.62,39.0
MOR-7430,7.77,0.57,141.04,222.34,339.86,1.64,4.12,65.0
MOR-1957,8.12,0.3,92.5,244.35,187.3,0.94,7.77,49.0
MOR-2745,4.83,0.46,155.13,248.37,183.47,1.12,7.46,47.0
MOR-4241,6.79,0.78,186.83,205.24,167.41,2.34,6.4,44.0
MOR-3793,4.22,0.46,97.67,374.09,321.93,0.51,2.71,37.0
MOR-3317,3.81,0.11,175.73,398.68,339.51,1.73,5.87,59.0
MOR-5585,3.03,0.56,165.25,307.28,363.15,1.41,7.11,55.0
MOR-5485,6.97,0.82,86.74,214.08,200.48,0.99,7.2,66.0
MOR-3008,6.41,0.75,93.29,325.45,279.69,1.9,2.73,37.0
MOR-2734,4.48,0.63,115.89,270.66,195.98,2.27,6.54,40.0
MOR-7363,6.41,0.56,169.11,238.53,241.28,0.88,4.12,66.0
MOR-3756,7.68,0.39,169.15,299.52,390.66,1.47,7.82,64.0
MOR-5566,2.53,0.2,152.8,324.3,263.73,0.81,2.82,43.0
